language,total_sentences,avg_sentence_length,max_sentence_length,avg_dependency_length,max_dependency_length,avg_tree_height,max_tree_height,corr_sentence_length_avg_dl,corr_tree_height_avg_dl
English,3607,223.89492653174383,648,3.68050023970013,149,8.145273080121985,24,0.2511821971710136,0.05210554180126347
French,1616,14.126856435643564,34,2.5228776114772127,32,4.6763613861386135,11,0.6087195976059236,0.3665836674799716
Hindi,1243,20.56637168141593,32,2.9485398960067757,25,4.398230088495575,10,0.3432905965533135,0.2777205066304786
spanish,802,34.87032418952619,144,3.1025621239687755,141,7.448877805486284,23,0.48101478187849206,0.1672191556707217
